name,house,status,price,size_ml,acquired,rating,notes_raw,description,all_natural,thoughts
Midnight Sea,Neil Morris Fragrance,owned,,30.0,American Perfumer,,"Water lily, vanilla, patchouli, dark musk, ozone notes.","Based on the memory of a late night stroll on the beach in Barbados. The sea had a deep, salty scent that I’ll never forget.",,
Dark Wave,OLO,owned,45.0,9.0,American Perfumer,,"Cardamom, Indonesian vetiver, wood","Dark Wave was originally created for a fall event kicking off the dreary rains set to inundate Portland for nine months. The scent is meant to envelop you, to protect you from the downpour.",,
Tropic of Capricorn,Olympic Orchids,owned,65.0,15.0,American Perfumer - 2019,,"mango fruit, jasmine, frangipani, tuberose, magnolia, osmanthus, maile vine, Bourbon vanilla, Africa stone, ambergris, benzoin, and New Caledonian sandalwood","This tropical fragrance avoids all the clichés of piña coladas, sunny beaches, and coconut-scented suntan oil. Instead, it’s a dark, night-time, jungle tropical. It’s called “Tropic of Capricorn” in honor of the theme, the winter season when it was created, and Henry Miller’s work in which he writes about “the dark fecundity of nature, … a night so frighteningly silent, utterly incomprehensible and eloquent at the same time”. The perfume creates the aura of a still, humid tropical night redolent with the scent of exuberant, blooming life, quick death, and the almost immediate rebirth that springs out of the dead flowers, something sensed at a level below conscious thought. It is 100% natural. Released 2013. Notes: mango fruit, jasmine, frangipani, tuberose, magnolia, osmanthus, maile vine, Bourbon vanilla, Africa stone, ambergris, benzoin, and New Caledonian sandalwood. [Note: This all-natural perfume is made in small batches and may require 2-3 weeks extra lead time for preparation]",Y,
La Lune de Miel,Parfums Lalune,owned,,,American Perfumer,,"Coriander, cinnamon leaf, wormwood, Rosa Gallica, raspberry ketone natural, cumin, patchouli, beeswax absolute, vanilla.","La Lune de Miel, ""honeymoon"" in French and a play on the name “Lalun”, is a perfume that evokes the mystical passion of the honeymoon as a union of sol and luna, gold and silver. This union is symbolized aromatically by the warm honey tone of the beeswax/patchouli accord paired with the cool silver of the apothecary rose. Inspired by Joseph Beuys’ artistic exploration of alchemical themes of union as a means to heal the world, especially his work with beeswax and honey.",,
Apple Iris Root,Phoenix Botanicals,owned,,,American Perfumer,,"Galbanum, petitgrain, apple blossoms, cherry, hawthorne, lilac, iris and orange blossoms, fruit, wild rose, davana, angelica, orris root, frankincense, ambergris","Apple blossoms whisper hints of the crisp fruit, bitter seeds, the boozy cider to come. Watery Iris blooms dark and cool, muddy roots holding the wildness of rivers, glistening with Frankincense, flowing to oceanic Ambergris. This perfume began with a tiny, festively blooming apple tree, and many flower tincturing experiments over the spring. I wished to capture the striking contrast between the flush rosy bloom, and dark bitter chill of the spring that haunts thru the seasons. An untamed floral with a classic touch ~ a second skin of wind blown flowers.",,
Samarinda,Providence Perfume Company,owned,,50.0,American Perfumer,,"Scotch, cardamom, saffron, carnation, oakwood and choya nakh, roasted seashell","An exotic scented journey awaits . . . . Travel to Indonesia. Samarinda begins with top notes of sweet orange, cardamom and pink peppercorn. A heart of carnation, heliotrope, rose, orange blossom and Sumatran coffee give way to a sweet scotch leather layover fortified by rum ether, jasmine rice, vanilla oakwood and roasted seashells.",,
Lolita,Sixteen92,owned,60.0,30.0,S92,,"Crisp apple skins, tart peach candies, rose absolute, sugared violet",,N,
Bruise Violet,Sixteen92,owned,60.0,30.0,S92,,"Red lipstick accord, dusting powder, white iris, violet leaf, Damascus & Bulgarian rose, red grapefruit zest",A retro-modern lipstick and iris floral that captures classic vintage elegance with a wink of youthful rebellion.,N,
Hellbore,Sixteen92,owned,60.0,30.0,American Perfumer,,"Tuberose absolute, Sambac Jasmine, oakmoss, tobacco, chilled earth, cocao, black musk",,,
Nereids,Sixteen92,owned,22.0,10.0,S92,,"Surf & shoreline, driftwood, dried coconut shell, pistachio, sweet sea grasses, salt","The fifty sea nymphs - goddesses of the sea, sand, rocks, waves and currents, and protectors of sailors and fishermen. Their scent is reminiscent of the surf and shore; a warm and salty-sweet aquatic with gourmand nuances.",,
I Be The Witch of the Wood,Sixteen92,owned,60.0,30.0,S92,,"Wheat and straw, dark forest, poisoned apple, chimney smoke, fur, blood",,,
Southern Gothic,Sixteen92,owned,60.0,30.0,S92,,"Mandarin Orange, Apple, Coconut Pulp, Southern Magnolia, Jasmine Sambac, Balsam, White Sandalwood","“Men and women, they were beautiful and wild, all a little violent under their pleasant ways and only a little tamed.” - Margaret Mitchell This southern belle really transforms on your skin. Don’t be fooled by the woody balsam smell from the bottle — this is a lovely, complex and warm southern floral that unfolds beautifully as it wears.",,
Casablanca,St Claire,owned,90.0,13.0,American Perfumer,,"Pink grapefruit, red mandarin, black currant bud absolute, orange blossom absolute, tuberose absolute, jasmine organic extract, ylang ylang, labdanum, oakmoss, vetiver, hyraceum absolute, civet, benzoin, musk.","place far away, a place with warm air and perfumed flowers and fruit—a garden in paradise with odors of mossy dirt, smooth woods with light green notes, and darker woods, sweating their rich, balsamic resins. In the evening, my garden would be bursting with intensely sweet orange blossoms, wafting their sultry notes of indole into the night air. Encircling that would be the intoxicating notes of meaty tuberose, with its sweet, long dry down. Juicy, tart notes of mandarin and grapefruit would brighten the mix as the animalic notes of slinking evening creatures mix with floral richness. I could smell a floral chypre, twisting towards oriental darkness, capturing the romantic, sexy chiaroscuro of my tropical oasis, another world from my barren, winter existence.",,
Carre Blanc,The Zoo,owned,109.0,56.0,American Perfumer - 2020,,"Green foliage, grapefruit, rhubarb, blond woods, hay, orris, tonka bean.",FRESH ABSTRACT RADIATING,N,
Nouvelle Vague,Maison Louis Marie,owned,65.0,15.0,Sephora,,"Muguet, Coconut Waters, Lemon, Tuscan Fig, Tonka, Agave, Vetiver, Amber, Santal","Nouvelle Vague transports you to spring on the Italian coast. It captures an uplifting citrus accord, a sheer floral bouquet, and coconut wrapped with Tuscan fig, agave, tonka, and golden woods. It was created for spring, daydreaming, and travel, and feels chic, warm, and renewing.",N,oil
90s Goth,Black Bacarra,owned,,,,,"clove cigarette smoke, jet black lipstick, worn leather, white violet musk.","Enter New York City in the 90s, where the goth subculturewas in full swing. The artists ode tothe scene is a dark, mysterious journey through theaccoutrements and aromatic nuances of the mid to late 90s. This head turning blend is builton a unique accord of black lipstick and violet musk. On the dry down, it reveals wisps of the finest clove cigarette smoke and a most subtle leather before settling into a violet musk with hints of clove.",,
Touchstone,Aether Arts,sampled,,,,,Top Notes: Aether Accord Middle Notes: Flashes of Color Accord Base Notes: Metal & Mineral Accord,,,Love. Cold but interesting.
Nude Moderne,Aether Arts,sampled,,,,,"Top Notes: Sweet Nothings Middle Notes: Understated confidence Base Notes: Musk Accord, Labdanum",,,Similar to No Perfume or Glossier You.
Android,Aether Arts,sampled,,,,,"Synthetic Sheath Accord, Inner Fluids Accord, Warm Power Source Accord",,,
Synthetic Sex,Aether Arts,sampled,,,,,"Virtual Space Accord, Warm Metal Accord, Seriously Sexual Accord",,,
Innus,Aether Arts,sampled,,,,,"Top Notes: Pimento Berry, White Pepper, Paprika, and Bergamot Middle Notes: Sambac Jasmine, Moroccan Rose, and Neroli Absolutes Base Note: Patchouli, Guaiacwood, Sandalwood, Labdanum, Benzoin, Myrrh, Honey Beeswax, Sumac and Castoreum",,,
Machine Intelligence,Aether Arts,sampled,,,,,"Aether Accord, Metallic Accord, Power Source Accord",,,
Love Tuberose,Amourage,sampled,,,,,,,,
Vi et Armis,Beaufort,sampled,,,,,,,,
Shoot the Duck,Black Phoenix Alchemy Lab,sampled,,,,,"Wild fig, tonka bean, bergamot, and hardwood.",,,
Paper Dolls,Black Violet,sampled,,,,,"""Delicate and pale as alabaster. A vintage lactonic with comforting rice milk, pure white musk, sweet cream, and the lightly powdered warmth of her skin.""",,,"Comforting, but slightly powdery. Would FS, but d/c."
Celebration,Black Violet,sampled,,,,,"celebratory champagne opens with a garnet bouquet of pomegranate, aromatic ripeness of boysenberry, rounded out with a garnish of cracked pink peppercorn for a playful finish.",,,
Anemone,Blackbird,sampled,,,,,"Plum, pink lotus, champagne, honey, tobacco, amber, styrax, labdanum",,,
Y06-S,Blackbird,sampled,,,,,,,,
Zero Zero One,Bon Parfumer,sampled,,,,,,,,
Lampblack,Bruno Fazzolari,sampled,,,,,"Bright, peppered citrus and inky, rubbery smoke threaded by vetiver. Fresh darkness. Lampblack was a finalist for the 2014 Art and Olfaction Award in the Artisan category.",,,
Pulp,Byredo,sampled,,,,,,,,
Lou Lou,Cacharel,sampled,,,,,,,,
La Petite Prairie,Chatillon Lux,sampled,,,,,"Vetiver, citrus, geranium, carnation, pineapple, rhubarb, rosemary and Sichuan pepper.",,,
Weinstrasse,Chatillon Lux,sampled,,,,,"White grape, honeysuckle, iris, blackcurrant bud, helichrysum, sandalwood, coumarin, oakmoss and musk.",,,
See by Chloe,Chloe,sampled,,,,,,,,
Chloe,Chloe,sampled,,,,,,,,
Roses de Chloe,Chloe,sampled,,,,,,,,
Soliflore Peony,Dame,sampled,,,,,Peony,,,
Jo March,Death & Floral,sampled,,,,,"Scribbles of pen ink and leather bound books, the scent of a crackling fire on a restless night, warm mature amber.",,,
Beth March,Death & Floral,sampled,,,,,"‘Get well’ magnolias and fresh open-window air, figs, and lavender chamomile tea.",,,
Meg March,Death & Floral,sampled,,,,,"A soft cotton dress, pink peony flowers sitting on an old wooden table.",,,
Amy March,Death & Floral,sampled,,,,,"French lavender macaroons, young spring flowers (Iris and lilac) and fresh Parisian rain.",,,
The Sweater We Buried You With,Death & Floral,sampled,,,,,"A luscious blend of three different vanillas, resinous amber, Arabian sandalwood, a soft cashmere sweater.",,,
Pop Flowers,Death & Floral,sampled,,,,,"Hibiscus flowers and sweet grass, blended with heliotrope and passion flowers.",,,
Cuir et Champignon,DSH,sampled,,,,,"Bergamot, clary sage, galbanum, neroli, wild chamomile, cepes, clove bud, gardenia, honey, orris, sandalwood, tuberose absolute. castoreum, civet, guiacwood, Hiba cedarwood, Indonesian vetiver, leather, Peru balsam, tobacco absolute",,,"maybe a little masculine but really nice. Expensive leather and suede, earthy."
Metropolis,DSH,sampled,,,,,"Bergamot, aldehydes, geranium, rose, petitgrain, oakmoss, cedar, sandalwood, castoreum, patchouli, leather and musk.",,,
The 7% Solution,DSH,sampled,,,,,"Wild oranges, mandarin, green citron, osmanthus, curacao, tiare, frangipani, narcissus, summer blooming flowers, sandalwood, vanilla, amber, oak, white woods and musks.",,,"medicinal, sharp."
Cimabue,DSH,sampled,,,,,,,,
Cuir et Champignon,DSH Perfumes,sampled,,,,,"Bergamot, clary sage, galbanum, neroli, wild chamomile, cepes, clove bud, gardenia, honey, orris, sandalwood, tuberose absolute. castoreum, civet, guiacwood, Hiba cedarwood, Indonesian vetiver, leather, Peru balsam, tobacco absolute.",,,
Splendiris,Dusita,sampled,,,,,,,,
La Pavilion d'Or,Dusita,sampled,,,,,,,,Smells expensive. Want to try more.
Indigo Vanilla,En Voyage,sampled,,,,,,,,Good violet note but something is off in the blend
Orange X Santal,Essential,sampled,,,,,,,,"Very literal orange. Turns a bit medicinal, like bitter orange Tums."
Viola,Fiele,sampled,,,,,,,,
Cedrus,Fiele,sampled,,,,,,,,
Santalum,Fiele,sampled,,,,,,,,
Sticky Fingers,Francesca Bianche,sampled,,,,,,,,
Lost In Heaven,Francesca Bianche,sampled,,,,,,,,
Under My Skin,Francesca Bianche,sampled,,,,,"mimosa, pineapple, coconut, immortelle, rose, iris, sandalwood, myrrh, labdanum, benzoin, ambergris, civet, vanilla",,,"Amazing. Almost gourmand, very natural smelling. FS worthy?"
Sex and the Sea,Francesca Bianche,sampled,,,,,,,,"Perfect amount of salt, not too aquatic, very sophisticated sunscreen notes."
Amongst Waves,Galagher,sampled,,,,,"Ginger, green apple, honeydew, lime zest, orange, pomegranate, aquatic notes, iris, sea salt, tulip, patchouli and vanilla bean.",,,Green apple/melon fruity aquatic. Great lasting power.
Encens Mythique d'Orient,Guerlain,sampled,,,,,"rose, aldehyde, saffron note, pink pepper, vetiver, patchouli, forest floor notes, ambergris, frankincense",,,
Samsara,Guerlain,sampled,54.0,100.0,,,"jasmine flower, which dominates the scent, before sunny ylang-ylang flower embellishes it, the better to unite it with the radiant and generous warmth of sandalwood. Lastly, iris, tonka bean and vanilla harmonise and render sublime this blend with its remarkable trail.",,,
Pumpkin Queen,Haus of Gloi,sampled,,,,,,,,
Saytr,Haus of Gloi,sampled,,,,,,,,
Amora,Hendley,sampled,,,,,,,,
Moon Bloom,Hiram Green,sampled,,,,,,,,"Gorgeous. Reminds me a little of Tahitian Gardenia. Fresh cut bouquet, sweet flowers"
Vivacious,Hiram Green,sampled,,,,,,,,
Arbole,Hiram Green,sampled,,,,,,,,
Hyde,Hiram Green,sampled,,,,,,,,
Dilletante,Hiram Green,sampled,,,,,,,,
Tobacco Cognac,HOCB,sampled,,,,,,,,
Saffron Veil,Irina Adam,sampled,,,,,,,,
Vanilla & the Sea,Irina Adam,sampled,,,,,,,,
Dusita,Issara,sampled,,,,,,,,
Remember Me,Jovoy,sampled,,,,,,,,Delicious chai tea scent.
Secrets du Paradis Rouge,Jud et Mad,sampled,,,,,,,,Lovely sweet orange blossom scent.
Lipstick Fever,Juliette Has a Gun,sampled,,,,,,,,"All chemical lipstick with nothing mixed in. Maybe as a layering note, but generally not appealing."
Unknown Pleasures,Kerosene,sampled,,,,,,,,
Crystal Moon,Mahere Olafactiv,sampled,,,,,"Osmanthus absolute, lavender flowers, jonquil absolute, Yirgacheffe coffee tincture, raspberry, hinoki, juniper, Peru balsam, dried fruit, amber resin",,,
Mandala,Masque Milano,sampled,,,,,,,,
Russian Tea,Masque Milano,sampled,,,,,,,,Minty but well balanced.
Sogno Real,Mendittorosa,sampled,284.0,100.0,,3.5/5,"Lemon, Bergamot, Marine/Iodine Accord, Tuberose, Patchouli, Volcanic Olibanum, Hyraceum, Rhum, Sandalwood, Styrax, Amber Woods",,,Warm and expensive smelling. Incense.
Oud Silk Mood,MFK,sampled,,,,,,,,
Baccarat Rouge 540,MFK,sampled,,,,,,,,
Ao,Mikmoi,sampled,,,,,,,,
Fetish,Neil Morris Fragrances,sampled,,,,,"Myrrh, oud, leather, benzoin, rosewood, musk, patchouli, ambergris.",,,
Ani,Nishane,sampled,,,,,,,,
Wulong Cha,Nishane,sampled,,,,,,,,Green tea?
Tuberoza,Nishane,sampled,,,,,,,,Really intense blast of tuberose.
Patchouli Kozha,Nishane,sampled,,,,,,,,
Dev 2,Olympic Orchids,sampled,,,,,"three different kinds of labdanum, tolu balsam, black agar, woody accord, musks, synthetic castoreum, synthetic civet, cistus oil, incense, rose, clove, cinnamon, cardamom, cinnamon leaf, immortelle absolute, cade, davana, and leather accord.",,,Very complex. Best of the Dev series.
Carolina,Olympic Orchids,sampled,,,,,"longleaf pine, hay absolute, magnolia, kudzu flower, tea, honeysuckle, star jasmine, vanilla, tonka, and tobacco leaf.",,,"A bit muddled, but want to keep smelling it."
Dev 1,Olympic Orchids,sampled,,,,,"three kinds of synthetic oud, woody accord, black vanilla, tolu balsam, clear labdanum absolute, synthetic musk deer accord, Africa stone tincture, ambergris tincture, synthetic civet, beeswax absolute, frankincense, African bluegrass, giant arborvitae wood from the Pacific Northwest, and cinnamon leaf.",,,
Dev 3,Olympic Orchids,sampled,,,,,"New Caledonian sandalwood absolute, dark labdanum, clear labdanum, red spikenard, ancient fossilized amber, ambergris tincture, black truffle tincture (the fungus, not the chocolate), cistus oil, cassie absolute, frankincense, davana, African bluegrass, myrrh tincture, motia attar, and cinnamon leaf.",,,
Dev 4,Olympic Orchids,sampled,,,,,"clear labdanum absolute, tolu balsam, dark labdanum, woods, frankincense, and giant arborvitae.",,,
Lil,Olympic Orchids,sampled,,,,,"woody accord, cashmeran, musk, patchouli; passion-fruit, angel’s trumpet, lily-of-the-valley, geranium, cyclamen, rose, davana, kewda, and kaffir lime leaf.",,,
Woodcut,Olympic Orchids,sampled,,,,,"Fractional distillations of pine and cedar, oakwood absolute, tolu balsam, olibanum, caramel, burnt sugar, vanilla.",,,Very expensive freshly cut wood.
Sonnet XVII,Olympic Orchids,sampled,,,,,"orchid 17 accord, osmanthus absolute, spikenard, Bourbon vanilla, dark labdanum, oakmoss, earthy accord, vetiver, citron, white champa flower, cubeb, synthetic deer musk, ambergris tincture, musks, and mastic.",,,
Golden Cattleya,Olympic Orchids,sampled,,,,,"narcissus, daffodil, orange fruit, orange blossoms, honey, pollen, cream soda, New Caledonian sandalwood, amber-tinged resins, labdanum, and musks.",,,"Goes powdery, but nice."
Kiluea,Olympic Orchids,sampled,,,,,"Plumeria, pikake, ginger lily, mimosa, bergamot, sandalwood, myrrh, vanilla, styrax, benzoin, lava accord.",,,
Night Flyer,Olympic Orchids,sampled,,,,,"sandalwood, olibanum wood, vetiver, furry musk accord, wet earth, damp air, mineral notes, resins, leather, figs, banana, soft tropical fruits.",,,Scrubber :(
Cryptical Envelopment,Olympic Orchids,sampled,,,,,"Rose, aromatic tobacco, lily, patchouli, davana, ginger, champaca, civet, dark musk, tolu balsam",,,
Mardi Gras,Olympic Orchids,sampled,,,,,"Orange blossom, neroli, cistus, benzoin, vanilla, civet, special musk blend.",,,Like an incredibly well-maintained pet shop next to a candy store.
Olympic Rainforest,Olympic Orchids,sampled,,,,,"cedar leaves, green sword ferns, rhododendron, forest mushrooms, beebalm, myrtle, wildflowers, oakmoss, black spruce, balsam fir, Port Orford Cedar, earthy accord.",,,
Bengale Rouge,Papillion,sampled,,,,,,,,
Salome,Papillon,sampled,,,,,,,,
Artemesia,Penhaglions,sampled,,,,,,,,
Roaring Radcliff,Penhaglions,sampled,,,,,,,,
The Bewitching Jasmine,Penhaglions,sampled,,,,,,,,
"Honey, Honey",Poesie,sampled,,,,3.5/5,"fresh cut grass, wet earth, wildflower honey (vegan)",,,"Grassy, Green, Linear"
Twice to Tea,Poesie,sampled,,,,,"a strongly brewed cup of Earl Grey tea delicately infused with all natural lavender absolute, sweetened with vanilla syrup, and lightened with a splash of milk",,,
Whisper your Bitter Things,Poesie,sampled,,,,,"pressed coffee beans, dried clove bud + cassia bark, jasmine and neroli blossoms, roasted vanilla pods",,,
Soft,Poesie,sampled,,,,,"fragrant, comforting basmati rice",,,
Pemberly,Poesie,sampled,,,,,"a stunning English garden where crushed tomato leaf, flowering woodbine & wisteria, peony petals, oak and ivy leaf blend seamlessly",,,
Better Merry Than Wise,Poesie,sampled,,,,,,,,
Codename Madeline,Poesie,sampled,,,,,,,,
Secret Boyfriend,Poesie,sampled,,,,,"a mountain of light fluffy marshmallows, your secret boyfriend’s leather jacket, pine and cedar, a wisp of smoke",,,
Forest Cat,Poesie,sampled,,,,,"fuzzy paws tinged with earth, night forest, grey fur musk, milky breath",,,"Great in the beginning but a little metallic in the dry down and then becomes generic ""leftover perfume"" smell"
Perfect Happiness,Poesie,sampled,,,,,,,,
Innocence,Poesie,sampled,,,,,"sweet peach skin, delicate coconut milk, comforting skin musk",,,
Vientiane,Providence Perfume,sampled,,,,,"Jasmine rice accord, three types of sandalwood, Chinese silk vine, ginger lily, rice paddy herb.",,,Nuclear sandalwood.
Las Flores,Provision,sampled,,,,,,,,
Mousse Illuminee,Rogue Perfumery,sampled,,,,,"Treemoss, frankincense, green cypress, artemisia, laurel leaves, cedar, white floral notes, white musk.",,,
Perfect Veil,Sarah Horowitz,sampled,,,,,,,,Really feminine and wearable but a bit powdery
Feminite du Bois,Serge Lutens,sampled,,,,,,,,
Paper Moon,Sixteen92,sampled,,,,,"Soft vanilla musk, benzoin, oakmoss, trailing ivy, peach blossom, rose",,,Really nice. Nostalgiac. Want to FS.
Ulalume,Sixteen92,sampled,,,,,"Moonflower, toasted almond, tonka bean, sweet fennel, narcissus, mourning veils",,,
The Awakening,Sixteen92,sampled,,,,,"Ocean air, dark water, damp mosses, gulf mud, saltwater taffy",,,Great on the opening but a bit metallic on the dry down. Fairly realistic swamp mud note.
Southern Gothic,Sixteen92,sampled,,,,,"Mandarin Orange, Apple, Coconut Pulp, Southern Magnolia, Jasmine Sambac, Balsam, White Sandalwood",,,
Blood and Honey,Sixteen92,sampled,,,,,"Blood orange, wildflower honey, pale amber, honeysuckle",,,
New Radio,Sixteen92,sampled,,,,,"Night air on the boardwalk, spun sugar and cider, melted ice cream, cannabis accord, whirling tendrils of nag champa",,,"Smells like a bakery next door to a headshop. I like it a lot, but mostly get the nag champa. Great for smelling like incense."
Cotton Mather,Sixteen92,sampled,,,,,"Blackened patchouli, woodland mosses, sweet herbs, dried helichrysum, woodsmoke, lamplight, ink, ash and flame",,,
Ore,Slumberhouse,sampled,,,,,,,,Chocolate and wood. Charred Cedar. Really interesting at first but was a little bored on the drydown.
Jeke,Slumberhouse,sampled,,,,,,,,
Baque,Slumberhouse,sampled,,,,,,,,
Oudh Lacquer,Soivohle,sampled,,,,,,,,
Violets and Rainwater,Soivohle,sampled,,,,,,,,Sweet and realistic violet. Subtle. Not exactly a stunner.
Honeysuckle Bird,Soivohle,sampled,,,,,,,,
First Cut,St. Claire,sampled,,,,,,,,
Frost,St. Claire,sampled,,,,,,,,
Orange Is Technicolor,Stereoplasm,sampled,,,,,"Orange blossom petals with shea butter, house-distilled tangerine oil and apricot jam.",,,Like a less sophisticated Love for 3 Oranges. A little brighter.
Sagittarius,Strange Invisible,sampled,,,,,"The iconic nomad sign, Jupiter-ruled Sagittarius lives for adventure and tends to be a social butterfly. Neroli and lime reflect Sagittarius’s innate optimism, mutability, and fiery ambition. Grounding essences of cypress, bay leaf, and honeycomb encourage this nomadic sign to appreciate present surroundings.",,,
Salted Green Mango,Strangers,sampled,,,,,"Salted green mango base on the elements of sour bitter fruits, Bao Mango, Star Gooseberry (Extremely sour and bitter), Pomelo, Combined with the salty elements from salt from dipping and salty air from geography of Southern Thailand. With spicy from fresh green chilli. Base on Chypre structure",,,"Awful salt note, kind of gross."
Vanori,Sylvaine Delacourte,sampled,,,,,,,,
Club Design,The Zoo,sampled,,,,,"Blackcurrant, grapefruit, lilies, styrax, leather note, mimosa, leather, musks, Atlas cedarwood, sandalwood",,,
Bee,Zoologist,sampled,195.0,60.0,,4.5/5,"Orange, Ginger Syrup, Royal Jelly Accord, Broom, Heliotrope, Mimosa, Orange Flower, Benzoin, Labdanum, Musks, Sandalwood, Tonka, Vanilla",,,"Nostalgiac, Warm, Sweet"
Civet,Zoologist,sampled,,,,,"Top Notes: Bergamot, Black Pepper, Lemon, Orange, Spices, Tarragon Heart Notes: Carnation, Frangipani, Heliotrope, Hyacinth, Linden-blossom, Tuberose, Ylang Base Notes: Balsams, Civet*, Coffee, Incense, Labdanum, Musks*, Oakmoss, Resins, Russian Leather*, Vanilla, Vetiver, Woods",,,
Hummingbird,Zoologist,sampled,,,,,"Top Notes: Apple, Cherry, Citrus, Lilac, Muguet, Plum, Rose, Violet Leaf Heart Notes: Honey, Honeysuckle, Mimosa, Peony, Tulip, Ylang Base Notes: Amber, Coumarin, Cream, Moss, Musks*, Sandalwood, White Woods",,,"Sweet, intrigiuing floral."
Bat,Zoologist,sampled,,,,,"Base Notes: Balsams, Civet*, Coffee, Incense, Labdanum, Musks*, Oakmoss, Resins, Russian Leather*, Vanilla, Vetiver, Woods",,,
